CensusTract,County,DI_ID,FoodProducing,Latitude,Longitude,ObjectID,State,GardenName,Address,NeighborhoodName
228,M,NY147,N/A,40.815768,-73.940759,M340,NY,Elizabeth Langley Memorial Garden,121-123 West 137th Street,Central Harlem
1164,B,NY148,N/A,40.668638,-73.882081,B460,NY,Elton Street Block Association,585 Elton Street,East New York
1168,B,NY149,N/A,40.680441,-73.883066,NA,NY,Essex Street Community Fulton Street Garden (Fulton Street Community Garden),3030 Fulton Street,East New York
1196,B,NY150,N/A,40.673943,-73.871567,B461,NY,Euclid 500 Block Association.,532 Euclid Avenue,East New York
N/A,B,NY151,N/A,N/A,N/A,NA,NY,Euclid Pine Block Association,N/A,East New York
299,B,NY152,N/A,40.678383,-73.926777,B532,NY,F.A.R.R. Block Association,808 Herkimer Street,N/A
1120,B,NY153,N/A,40.665184,-73.881518,B462,NY,Family Community Garden - Brooklyn,793 Cleveland Street,East New York
172,M,NY154,N/A,40.79527,-73.943572,M330,NY,Family Community Garden - Manhattan,156 East 111th Street,East Harlem
178,M,NY155,N/A,40.794189,-73.935108,NA,NY,Family Garden,431 East 114th Street,East Harlem
69,X,NY156,N/A,40.822053,-73.913995,X337,NY,Family Group Garden,419 East 158th Street,Melrose
894,B,NY157,N/A,40.664208,-73.917132,B463,NY,Fantasy Garden,181 Legion Street,Brownsville
N/A,X,NY158,N/A,N/A,N/A,X252B,NY,Farm in the Bronx,East 182nd Street,N/A
303,B,NY159,N/A,40.674381,-73.91832,B464,NY,Farmers Garden,1897-1905 Bergen Street,N/A
2602,M,NY160,N/A,40.72447,-73.97791,M310,NY,Firemens Memorial Garden Inc.,358-364 E 8th Street,East Village
265,B,NY161,N/A,40.687717,-73.944139,B465,NY,First Quincy Street GreenThumb Garden,397-401 Quincy Street,N/A
3602,M,NY162,N/A,40.72384,-73.989772,M358,NY,First Street Garden,48 East 1st Street,N/A
1126,B,NY163,N/A,40.666585,-73.890635,B466,NY,First Temple of David,494 Bradford Street,East New York
1501,M,NY164,N/A,40.709257,-74.00198,M291,NY,FishBridge Pk. (South-Water-Front Neigh. Assoc.),338-340 Pearl Street,Downtown Manhattan
220,M,NY165,N/A,40.807004,-73.951621,NA,NY,Five Star Block Association,250-252 West 121st Street,Harlem
1150,B,NY166,N/A,40.673578,-73.884567,B467,NY,Floral Vineyard,2379-2385 Pitkin Avenue,East New York
39901,X,NY167,N/A,40.863711,-73.892599,X324,NY,Fordham Bedford Lot-Busters,2592-2597 Bainbridge Avenue,N/A
39901,X,NY168,N/A,40.863711,-73.892599,X324,NY,Fordham Bedford Lot-Busters,2592-2597 Bainbridge Avenue,N/A
229,M,NY169,N/A,40.824306,-73.949441,M317,NY,Frank White Memorial Garden,506-508 West 143rd Street,Hamilton Heights
185,X,NY170,N/A,40.826309,-73.905603,X318,NY,Franklin Memorial Garden,1060-1062 Cauldwell Avenue,Morrisania
N/A,M,NY171,N/A,N/A,N/A,NA,NY,Frederick Douglass Academy HS,2599 Adam Clayton Powell Jr Boulevard,N/A
17402,M,NY172,N/A,40.796245,-73.945843,NA,NY,Friendly Garden,95 East 111th Street,East Harlem
237,M,NY173,N/A,40.828638,-73.945842,NA,NY,Friendship Garden (Lucille McClarey Garden),499 West 150th Street,Hamilton Heights
N/A,M,NY174,N/A,N/A,N/A,M377,NY,Garden,Fredrick Douglas Blvd. and W. 152ns St,N/A
N/A,B,NY175,N/A,N/A,N/A,B420,NY,Garden Beautiful,Corner of Broadway & Putnam Ave.,Bed-Stuy
387,B,NY176,N/A,40.690966,-73.928771,NA,NY,Garden of Angels,978 Greene Avenue,Bed-Stuy
